,action,amount,assetPriceUSD,id,timestamp,txHash,useATokens,pool,repayer_id,reserve_decimals,reserve_name,underlying_asset,user_id
0,Repay,310503.62796,1.0000981,17595358:4:0x5dee8c77063e255e154de1d0bc086bf5919e2c6218ce6fb16b700483d344c6bc:74:74,1688167775,0x5dee8c77063e255e154de1d0bc086bf5919e2c6218ce6fb16b700483d344c6bc,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x0000cd00001700b10049dfc947103e00e1c62683,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000cd00001700b10049dfc947103e00e1c62683
1,Repay,8450.19916333833,4.8425761,17595246:100:0xae94df52c8329ad586f958827449bd3c62152ae709fd0063631782e3c581f972:134:134,1688166407,0xae94df52c8329ad586f958827449bd3c62152ae709fd0063631782e3c581f972,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x0ae1be13bd64f8cf22680bd378893e8fc1bc56ef,18,Balancer,0xba100000625a3754423978a60c9317c58a424e3d,0x0ae1be13bd64f8cf22680bd378893e8fc1bc56ef
2,Repay,58356.193096850526,5.01596049,17595209:10:0x1ed9db6ea088452fdb66913f440f87aa2f30d8463c63e57ac2ffe9674f2d03ad:69:69,1688165963,0x1ed9db6ea088452fdb66913f440f87aa2f30d8463c63e57ac2ffe9674f2d03ad,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x0000cd00001700b10049dfc947103e00e1c62683,18,Uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x0000cd00001700b10049dfc947103e00e1c62683
3,Repay,213.6202016689077,0.7712,17595063:116:0xd06228bc28f6c263a770bf8d9ed0b82e38b9f2bd75b71d95f59ac9273ea8699b:846:846,1688164187,0xd06228bc28f6c263a770bf8d9ed0b82e38b9f2bd75b71d95f59ac9273ea8699b,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,18,Curve DAO Token,0xd533a949740bb3306d119cc777fa900ba034cd52,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d
4,Repay,309627.914814,0.99985628,17594984:2:0xacbfc7d824bf04ab875e11e869299db12f1998c538ecb239248423f3cc099eea:44:44,1688163227,0xacbfc7d824bf04ab875e11e869299db12f1998c538ecb239248423f3cc099eea,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x0000cd00001700b10049dfc947103e00e1c62683,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000cd00001700b10049dfc947103e00e1c62683
5,Repay,52246.644391,0.99985628,17594877:32:0x24777013dbf818cecfa4852cd69e37073f1fb03f50814edbe740c49ace8747bd:135:135,1688161931,0x24777013dbf818cecfa4852cd69e37073f1fb03f50814edbe740c49ace8747bd,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x71ff1934c6e7c846561a8b17a18ba279736cf9f4,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0x71ff1934c6e7c846561a8b17a18ba279736cf9f4
6,Repay,56.49402491968879,1782.44,17594601:110:0xb193c1e97512c09e4d030369ef6962808c8955b67340569c6013d9bcf5dafa15:194:194,1688158595,0xb193c1e97512c09e4d030369ef6962808c8955b67340569c6013d9bcf5dafa15,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd322a49006fc828f9b5b37ab215f99b4e5cab19c,18,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc35169f3873a9d13254cc29a23cc574c407de82f
7,Repay,100.82,0.99985628,17594524:149:0x09d94c1653e5bf7f363527b457a157e34c434cfe88654db8dca0843db4409d50:439:439,1688157671,0x09d94c1653e5bf7f363527b457a157e34c434cfe88654db8dca0843db4409d50,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xe0ff0c1a9e4f7e4a274ea8b8c0b72d918b6a2d6d,6,Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,0xe0ff0c1a9e4f7e4a274ea8b8c0b72d918b6a2d6d
8,Repay,50079.64498,1.0000981,17594442:66:0x8ad8ea6c5fe83e37698cb24cc2d839372bfc205bd890b474c3e8a68ae9ac1993:312:312,1688156651,0x8ad8ea6c5fe83e37698cb24cc2d839372bfc205bd890b474c3e8a68ae9ac1993,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x1809f186d680f239420b56948c58f8dbbcdf1e18,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x71ff1934c6e7c846561a8b17a18ba279736cf9f4
9,Repay,4107.673112,1.0000981,17594298:60:0x733f4ab99ffe14e8ba752a071decbea6fd9ee7ab68b671e079f80c65cfd0c76a:86:86,1688154875,0x733f4ab99ffe14e8ba752a071decbea6fd9ee7ab68b671e079f80c65cfd0c76a,False,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd12210b9bc2779645d9fb86d79516f9050ac060d,6,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd12210b9bc2779645d9fb86d79516f9050ac060d
